gender,race_ethn,year,age,m_i.med,m_i.lwr,m_i.upr
Female,black,2015,0,1e-8,0,5e-8
Female,black,2015,1,3e-8,0,7e-8
Female,black,2015,5,3e-8,1e-8,8e-8
Female,black,2015,10,5e-8,1e-8,1e-7
Female,black,2015,15,2.4e-7,1.3e-7,3.8e-7
Female,black,2015,20,8.3e-7,5.9e-7,1.14e-6
Female,black,2015,25,1.08e-6,8e-7,1.42e-6
Female,black,2015,30,1.27e-6,9.4e-7,1.66e-6
Female,black,2015,35,1.05e-6,7.8e-7,1.38e-6
Female,black,2015,40,9.9e-7,7.2e-7,1.33e-6
Female,black,2015,45,6.4e-7,4.4e-7,8.8e-7
Female,black,2015,50,6e-7,4.2e-7,8.3e-7
Female,black,2015,55,3.5e-7,2.3e-7,5.2e-7
Female,black,2015,60,2.9e-7,1.8e-7,4.4e-7
Female,black,2015,65,1.9e-7,1e-7,3.1e-7
Female,black,2015,70,1.4e-7,7e-8,2.4e-7
Female,black,2015,75,2.1e-7,1.1e-7,3.6e-7
Female,black,2015,80,2.6e-7,1.4e-7,4.5e-7
Female,black,2016,0,1e-8,0,5e-8
Female,black,2016,1,3e-8,0,7e-8
Female,black,2016,5,3e-8,1e-8,8e-8
Female,black,2016,10,5e-8,1e-8,9e-8
Female,black,2016,15,2.3e-7,1.3e-7,3.7e-7
Female,black,2016,20,8.2e-7,5.8e-7,1.11e-6
Female,black,2016,25,1.06e-6,7.9e-7,1.4e-6
Female,black,2016,30,1.24e-6,9.3e-7,1.63e-6
Female,black,2016,35,1.03e-6,7.6e-7,1.36e-6
Female,black,2016,40,9.8e-7,7.1e-7,1.3e-6
Female,black,2016,45,6.2e-7,4.3e-7,8.6e-7
Female,black,2016,50,5.9e-7,4.1e-7,8.1e-7
Female,black,2016,55,3.5e-7,2.2e-7,5.1e-7
Female,black,2016,60,2.9e-7,1.8e-7,4.4e-7
Female,black,2016,65,1.8e-7,1e-7,3e-7
Female,black,2016,70,1.4e-7,7e-8,2.4e-7
Female,black,2016,75,2.1e-7,1.1e-7,3.5e-7
Female,black,2016,80,2.6e-7,1.4e-7,4.4e-7
Female,black,2017,0,1e-8,0,5e-8
Female,black,2017,1,3e-8,0,7e-8
Female,black,2017,5,3e-8,1e-8,8e-8
Female,black,2017,10,5e-8,1e-8,1e-7
Female,black,2017,15,2.3e-7,1.3e-7,3.7e-7
Female,black,2017,20,8.2e-7,5.8e-7,1.13e-6
Female,black,2017,25,1.07e-6,7.9e-7,1.41e-6
Female,black,2017,30,1.26e-6,9.4e-7,1.65e-6
Female,black,2017,35,1.04e-6,7.7e-7,1.37e-6
Female,black,2017,40,9.9e-7,7.1e-7,1.32e-6
Female,black,2017,45,6.3e-7,4.4e-7,8.7e-7
Female,black,2017,50,6e-7,4.1e-7,8.3e-7
Female,black,2017,55,3.5e-7,2.3e-7,5.1e-7
Female,black,2017,60,2.9e-7,1.8e-7,4.4e-7
